"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
1013;5;"—";189;"72 51 66";0;"Передано в вуз";1636092;"05.07.2026 в 13:30"
1014;3;"—";187;"58 56 73";0;"На рассмотрении";992115;"21.06.2026 в 11:50"
1015;1;"—";187;"70 62 55";0;"Участвуете в конкурсе";1012889;"23.06.2026 в 11:37"
1016;2;"—";187;"64 62 61";0;"На рассмотрении";1375011;"02.07.2026 в 16:54"
1017;4;"—";187;"70 62 55";0;"На рассмотрении";1462740;"02.07.2026 в 10:52"
1018;4;"—";186;"70 59 57";0;"Участвуете в конкурсе";1288681;"29.06.2026 в 22:38"
1019;4;"—";186;"64 64 58";0;"На рассмотрении";1505922;"02.07.2026 в 18:12"
1020;1;"—";186;"58 75 52";1;"На рассмотрении";1576578;"03.07.2026 в 19:05"
1021;4;"—";185;"58 54 73";0;"На рассмотрении";1581880;"03.07.2026 в 21:18"
1022;2;"—";185;"70 59 55";1;"На рассмотрении";1565327;"03.07.2026 в 18:11"
1023;2;"—";184;"70 56 58";0;"Участвуете в конкурсе";1262474;"29.06.2026 в 21:46"
1024;2;"—";184;"76 54 54";0;"Участвуете в конкурсе";1263730;"29.06.2026 в 21:48"
1025;2;"—";184;"74 61 49";0;"На рассмотрении";1418458;"01.07.2026 в 16:09"
1026;5;"—";184;"64 72 48";0;"Передано в вуз";1536009;"05.07.2026 в 15:14"
1027;6;"—";184;"70 46 67";1;"Участвуете в конкурсе";1101740;"29.06.2026 в 21:59"
1028;7;"—";183;"70 59 54";0;"Передано в вуз";1612661;"05.07.2026 в 11:36"
1029;4;"—";183;"58 54 70";1;"Участвуете в конкурсе";1243544;"29.06.2026 в 21:22"
1030;1;"—";182;"64 54 64";0;"Участвуете в конкурсе";1330020;"30.06.2026 в 14:35"
1031;4;"—";182;"40 70 72";0;"На рассмотрении";1475307;"02.07.2026 в 12:47"
1032;8;"Электронное";182;"64 59 54";5;"Участвуете в конкурсе";982321;"21.06.2026 в 15:06"
1033;4;"Электронное";181;"70 59 52";0;"Участвуете в конкурсе";1339545;"30.06.2026 в 15:50"
1034;5;"—";181;"64 51 66";0;"На рассмотрении";1375344;"03.07.2026 в 05:56"
1035;4;"—";181;"52 75 54";0;"На рассмотрении";1377630;"03.07.2026 в 13:59"
1036;4;"—";180;"70 56 54";0;"Участвуете в конкурсе";1261158;"01.07.2026 в 09:45"
1037;4;"—";180;"52 54 72";2;"Участвуете в конкурсе";1275409;"30.06.2026 в 23:20"
1038;5;"Электронное";180;"58 56 63";3;"Участвуете в конкурсе";1365268;"30.06.2026 в 23:23"
1039;5;"—";179;"52 64 63";0;"На рассмотрении";1183640;"05.07.2026 в 06:04"
1040;4;"—";179;"64 43 72";0;"На рассмотрении";1582486;"03.07.2026 в 21:38"
1041;8;"—";178;"70 54 54";0;"Участвуете в конкурсе";1202579;"28.06.2026 в 17:29"
1042;4;"—";178;"64 54 60";0;"На рассмотрении";1511555;"02.07.2026 в 19:59"
1043;2;"—";177;"52 59 66";0;"Участвуете в конкурсе";1172629;"27.06.2026 в 16:06"
1044;2;"—";177;"46 70 61";0;"Конкурсная группа исключена";1277662;"02.07.2026 в 14:15"
1045;5;"—";177;"58 58 61";0;"Конкурсная группа исключена";1326758;"30.06.2026 в 18:01"
1046;2;"—";175;"84 91";0;"Конкурсная группа исключена";1028483;"22.06.2026 в 14:36"
1047;1;"—";175;"64 54 57";0;"На рассмотрении";1503704;"02.07.2026 в 17:37"
1048;6;"—";175;"74 46 55";0;"На рассмотрении";1619226;"04.07.2026 в 18:04"
1049;2;"—";174;"72 48 54";0;"Участвуете в конкурсе";1435492;"01.07.2026 в 20:27"
1050;1;"—";174;"70 46 58";0;"На рассмотрении";1473101;"02.07.2026 в 14:42"
1051;5;"—";174;"58 56 60";0;"На рассмотрении";1530639;"03.07.2026 в 09:30"
1052;3;"—";174;"72 51 51";0;"На рассмотрении";1534035;"03.07.2026 в 10:16"
1053;2;"—";174;"58 56 60";0;"На рассмотрении";1571849;"03.07.2026 в 18:40"
1054;5;"—";174;"52 64 57";1;"Участвуете в конкурсе";1250543;"29.06.2026 в 21:30"
1055;2;"—";174;"64 54 55";1;"На рассмотрении";1616789;"04.07.2026 в 16:53"
1056;2;"Электронное";173;"70 46 57";0;"Участвуете в конкурсе";1186091;"28.06.2026 в 10:18"
1057;2;"—";173;"64 48 61";0;"Участвуете в конкурсе";1247365;"29.06.2026 в 23:04"
1058;1;"—";173;"52 64 57";0;"Участвуете в конкурсе";1361049;"30.06.2026 в 21:36"
1059;2;"—";173;"52 48 73";0;"На рассмотрении";1623776;"04.07.2026 в 20:49"
1060;6;"—";172;"64 48 60";0;"Участвуете в конкурсе";1036312;"22.06.2026 в 17:36"
1061;1;"—";172;"52 48 72";0;"Конкурсная группа исключена";1352204;"30.06.2026 в 18:45"
1062;2;"—";172;"70 51 51";0;"На рассмотрении";1518492;"02.07.2026 в 22:31"
1063;1;"—";172;"70 56 46";0;"На рассмотрении";1620235;"04.07.2026 в 18:39"
1064;1;"—";171;"70 46 55";0;"Участвуете в конкурсе";1254008;"29.06.2026 в 21:34"
1065;2;"—";171;"70 46 55";0;"На рассмотрении";1502148;"02.07.2026 в 17:14"
1066;6;"Электронное";169;"52 54 63";0;"Участвуете в конкурсе";1251957;"29.06.2026 в 21:32"
1067;2;"—";169;"64 54 51";0;"Участвуете в конкурсе";1430818;"01.07.2026 в 19:03"
1068;3;"—";169;"52 62 54";1;"На рассмотрении";1542367;"03.07.2026 в 14:03"
1069;3;"—";168;"81 87";0;"На рассмотрении";1049252;"23.06.2026 в 09:40"
1070;3;"—";168;"64 43 61";0;"На рассмотрении";1422609;"03.07.2026 в 18:38"
1071;5;"—";168;"64 54 49";1;"Участвуете в конкурсе";1182200;"29.06.2026 в 21:44"
1072;4;"—";167;"70 54 43";0;"Участвуете в конкурсе";1437498;"02.07.2026 в 00:22"
1073;5;"—";167;"52 51 64";0;"На рассмотрении";1504348;"02.07.2026 в 17:47"
1074;1;"—";167;"70 54 43";0;"На рассмотрении";1508753;"02.07.2026 в 19:03"
1075;3;"—";167;"58 48 60";1;"На рассмотрении";1515993;"02.07.2026 в 21:30"
1076;1;"—";166;"64 48 54";0;"На рассмотрении";980147;"02.07.2026 в 14:41"
1077;3;"—";166;"58 51 57";0;"Передано в вуз";1266280;"05.07.2026 в 08:45"
1078;1;"—";166;"70 51 45";0;"Участвуете в конкурсе";1370412;"01.07.2026 в 08:51"
1079;4;"—";166;"70 48 48";0;"Участвуете в конкурсе";1433185;"01.07.2026 в 19:46"
1080;6;"—";165;"40 61 64";0;"Конкурсная группа исключена";1240558;"30.06.2026 в 07:52"
1081;3;"—";164;"64 48 52";0;"Участвуете в конкурсе";1209085;"28.06.2026 в 20:27"
1082;1;"Электронное";164;"58 54 52";0;"Участвуете в конкурсе";1358243;"30.06.2026 в 20:38"
1083;4;"—";163;"58 51 54";0;"Участвуете в конкурсе";1337355;"30.06.2026 в 15:28"
1084;1;"—";163;"40 59 64";0;"На рассмотрении";1482217;"02.07.2026 в 13:52"
1085;1;"—";163;"46 56 61";0;"На рассмотрении";1502653;"02.07.2026 в 18:52"
1086;5;"—";162;"52 27 83";0;"На рассмотрении";1222119;"29.06.2026 в 21:04"
1087;5;"—";162;"58 48 54";2;"Участвуете в конкурсе";1189174;"28.06.2026 в 12:04"
1088;6;"Электронное";161;"46 51 64";0;"Участвуете в конкурсе";959635;"20.06.2026 в 11:59"
1089;1;"—";161;"52 46 63";0;"Участвуете в конкурсе";1396201;"01.07.2026 в 14:29"
1090;5;"—";160;"58 48 54";0;"Участвуете в конкурсе";1172280;"27.06.2026 в 15:50"
1091;2;"—";159;"58 46 55";0;"Участвуете в конкурсе";1375015;"01.07.2026 в 12:52"
1092;7;"—";158;"52 51 55";0;"Конкурсная группа исключена";1186189;"01.07.2026 в 14:50"
1093;2;"—";158;"46 46 66";0;"Участвуете в конкурсе";1246724;"01.07.2026 в 11:24"
1094;2;"—";158;"34 67 57";0;"На рассмотрении";1282587;"29.06.2026 в 22:01"
1095;4;"—";158;"58 43 57";0;"На рассмотрении";1339040;"30.06.2026 в 15:45"
1096;6;"—";158;"64 34 60";0;"На рассмотрении";1516536;"02.07.2026 в 21:42"
1097;2;"—";157;"52 48 57";0;"Участвуете в конкурсе";1437292;"01.07.2026 в 21:00"
1098;1;"—";157;"40 54 63";0;"На рассмотрении";1582944;"03.07.2026 в 21:53"
1099;3;"—";155;"58 46 51";0;"Участвуете в конкурсе";1286844;"29.06.2026 в 22:12"
1100;2;"—";152;"52 40 60";0;"На рассмотрении";1001772;"21.06.2026 в 19:59"
1101;4;"—";150;"52 46 52";0;"На рассмотрении";1289628;"04.07.2026 в 11:47"
1102;2;"Электронное";149;"40 48 61";0;"Участвуете в конкурсе";1198738;"28.06.2026 в 15:55"
1103;1;"—";148;"46 39 63";0;"На рассмотрении";1399427;"01.07.2026 в 13:13"
1104;6;"—";145;"46 44 55";0;"На рассмотрении";1497939;"02.07.2026 в 16:23"
1105;3;"Электронное";145;"34 40 67";4;"На рассмотрении";944024;"20.06.2026 в 09:09"
1106;5;"—";138;"52 43 43";0;"Передано в вуз";1632437;"05.07.2026 в 11:25"
1107;5;"—";137;"40 48 49";0;"На рассмотрении";1458716;"03.07.2026 в 09:11"
1108;2;"Электронное";135;"52 40 43";0;"На рассмотрении";1029137;"01.07.2026 в 00:41"
1109;2;"—";135;"46 46 43";0;"Участвуете в конкурсе";1134546;"26.06.2026 в 13:23"
1110;3;"—";132;"40 43 49";0;"На рассмотрении";1518775;"02.07.2026 в 22:38"
1111;1;"—";132;"46 34 52";0;"На рассмотрении";1605079;"04.07.2026 в 12:53"
1112;1;"—";132;"34 46 51";1;"На рассмотрении";1280026;"30.06.2026 в 09:40"
1113;3;"—";127;"27 59 40";1;"На рассмотрении";1102947;"24.06.2026 в 18:54"
1114;2;"Электронное";92;"92";0;"На рассмотрении";1030316;"22.06.2026 в 15:12"
1115;3;"—";78;"78";0;"На рассмотрении";1395001;"01.07.2026 в 12:34"
1116;1;"—";78;"22 7 49";0;"На рассмотрении";1403367;"01.07.2026 в 13:49"
1117;2;"—";70;"70";0;"На рассмотрении";1155728;"26.06.2026 в 19:22"
1118;6;"—";61;"61";0;"На рассмотрении";1157381;"01.07.2026 в 19:51"
1119;6;"—";61;"22 39";0;"На рассмотрении";1321491;"30.06.2026 в 13:04"
1120;2;"—";55;"55";0;"На рассмотрении";1543523;"03.07.2026 в 14:17"
1121;5;"—";54;"54";0;"Конкурсная группа исключена";989332;"21.06.2026 в 16:15"
1122;3;"—";0;"";6;"На рассмотрении";831722;"20.06.2026 в 00:22"
1123;4;"—";0;"";0;"На рассмотрении";940407;"20.06.2026 в 06:31"
1124;4;"—";0;"";0;"На рассмотрении";972872;"20.06.2026 в 15:16"
1125;4;"—";0;"";6;"На рассмотрении";976949;"03.07.2026 в 17:44"
1126;5;"—";0;"";6;"На рассмотрении";976965;"20.06.2026 в 17:56"
1127;5;"—";0;"";0;"Конкурсная группа исключена";987367;"21.06.2026 в 03:09"
1128;2;"—";0;"";0;"На рассмотрении";1013869;"22.06.2026 в 10:15"
1129;3;"Электронное";0;"";0;"На рассмотрении";1030099;"29.06.2026 в 21:10"
1130;3;"—";0;"";0;"На рассмотрении";1033342;"22.06.2026 в 16:16"
1131;3;"—";0;"";0;"На рассмотрении";1046602;"23.06.2026 в 07:45"
1132;3;"—";0;"";0;"На рассмотрении";1054353;"23.06.2026 в 11:38"
1133;2;"—";0;"";0;"На рассмотрении";1059780;"23.06.2026 в 13:26"
1134;5;"—";0;"";0;"На рассмотрении";1068470;"23.06.2026 в 16:30"
1135;1;"—";0;"";0;"На рассмотрении";1102803;"24.06.2026 в 18:45"
1136;1;"Электронное";0;"";0;"На рассмотрении";1117913;"25.06.2026 в 12:27"
1137;1;"Электронное";0;"";0;"На рассмотрении";1133654;"25.06.2026 в 23:59"
1138;1;"—";0;"";0;"На рассмотрении";1135349;"02.07.2026 в 11:49"
1139;6;"—";0;"";0;"На рассмотрении";1144248;"26.06.2026 в 12:43"
1140;5;"—";0;"";0;"На рассмотрении";1153132;"03.07.2026 в 07:24"
1141;3;"—";0;"";0;"На рассмотрении";1156737;"26.06.2026 в 20:39"
1142;2;"Электронное";0;"";0;"На рассмотрении";1159293;"27.06.2026 в 03:57"
1143;4;"Электронное";0;"";0;"На рассмотрении";1170004;"27.06.2026 в 14:23"
